,,rx5 ALA,rx5 CAN,rx5 CEA,rx5 CWP,rx5 NEA,rx5 NEF,rx5 NPL,rx5 NWP,rx5 SEA,rx5 SPL,rx5 SWP,rx5 USA,rx5 USC
1977,4,0.09,0.16,1.34,0.84,0.84,0.68,-0.4,-0.34,1.28,-0.59,-1.14,0.37,0.39
1978,1,-0.88,-1.35,1,0.53,0.87,-0.51,-0.83,-1.86,-0.88,-0.54,1.6,0.21,-0.43
1978,2,-1.41,-1.35,-0.31,0.22,-0.41,-0.92,-0.13,-1.28,-0.36,-1.06,2.1,-0.07,-0.51
1978,3,-0.93,-0.98,-0.43,0.4,-0.7,-0.86,-0.47,-0.73,-0.2,0.14,-1.81,-0.27,-0.98
1978,4,-0.38,0.12,-1.44,-0.98,-1.32,-0.72,1,0.73,-1.76,-0.19,0.62,-0.76,-0.66
1979,1,-0.71,-1.2,2.78,-0.52,0.86,0.32,-1.05,-1.7,1.95,0.39,0.66,1.57,0.91
1979,2,0.77,2.11,1.42,-0.12,2.08,2.41,0.1,0.26,1.38,0.7,0.78,1.53,1.97
1979,3,0.46,-1.15,-0.47,-0.44,0.83,0.28,-1.4,-0.85,0.29,1.57,0.36,1.4,0.79
1979,4,1.38,-0.03,1.11,0.08,1.08,1.2,-0.81,-0.87,2.13,-0.54,-1.26,0.47,0.49
1980,1,0.69,-0.6,-2.2,0.6,-0.45,-0.91,-0.38,-0.05,-1.67,0.1,2.4,0.37,0.03
1980,2,-0.8,-0.83,0.51,0.52,0.33,-0.35,-1.79,0.13,1.66,-0.19,0.63,0.52,0.16
1980,3,0.56,0.69,-0.48,-0.6,2.11,-0.38,0.73,0.22,-1.79,-2.09,-2.17,-2.02,-1.83
1980,4,-0.87,-0.23,-0.48,-0.29,0.8,-0.72,-0.05,0.18,0.5,0.47,-1.45,-0.55,-0.58
1981,1,-0.08,0.22,-0.83,0.35,0.54,0.03,0.02,0.34,-2.25,-1.05,-0.48,-1.77,-1.57
1981,2,-0.67,0.05,-0.58,0.08,1.1,0.25,-1.12,0.42,-1.23,0.92,0.64,-0.27,-0.24
1981,3,1.56,-0.18,-0.17,-0.53,1.22,0.37,-0.74,-0.16,0.1,1.93,0.17,1.84,1.97
1981,4,-0.11,2.09,0.84,1.26,1.87,0.36,0.47,2.26,-1.18,0.53,0.91,0.31,0.87
1982,1,-1.26,0.26,1.09,1.31,1.87,0.23,-0.04,-0.06,0.74,0.05,0.39,0.99,1.03
1982,2,0.76,-0.2,-1.02,-0.09,0.75,-0.71,0.38,-0.21,-0.27,1.12,1.25,0.61,0.44
1982,3,0.25,0.04,0.68,0.64,0.27,0.29,0.52,-0.57,0.65,-0.5,0.8,0.64,0.72
1982,4,0.63,-0.09,-1.12,1.06,-1.52,0.15,0.7,-1.09,-0.34,0,1.87,0.59,0.51
1983,1,-1.29,-0.64,-0.7,1.01,-0.72,0.14,-0.92,-0.58,1.17,1.19,1.44,2.01,1.58
1983,2,-0.22,1.13,1.88,2.2,1.72,1.8,-0.27,-0.71,1.49,-0.44,2.85,2.36,2.36
1983,3,-0.79,-0.29,-0.5,1.98,-0.5,-1.87,0.04,1.04,-1.74,-0.49,0.39,-1.09,-1.43
