,,t10 ALA,t10 CAN,t10 CEA,t10 CWP,t10 NEA,t10 NEF,t10 NPL,t10 NWP,t10 SEA,t10 SPL,t10 SWP,t10 USA,t10 USC
2014,1,-1.28,0.32,0.89,0.63,0.11,1.7,1.11,0.09,0.69,1.33,0.05,0.84,0.61
2014,2,-0.96,-0.21,1.65,-1.67,0.77,1.67,0.4,-0.96,1.11,0.9,-1.14,0.02,-0.12
2014,3,-0.41,-1.49,-1.25,-1.46,-2.22,-1.12,-0.94,-1.78,0.32,0.09,-1.36,-0.66,-1.35
2014,4,-1.39,-0.65,-0.2,-0.26,-0.94,0.15,0.29,-0.61,0.53,0.79,-0.82,0.06,-0.39
2015,1,-1.48,-0.93,1.09,-1.16,1.15,1.09,-0.92,-1.27,0.2,-0.35,-1.3,-0.73,-0.9
2015,2,-1.05,-1.23,-0.04,-1.96,0.52,-0.1,-0.86,-1.65,-0.97,-0.36,-1.02,-1.29,-1.37
2015,3,-1.06,-1.48,-1.38,-1.89,-0.91,-1.21,-1.17,-1.94,-1.34,-1.04,-1.35,-2.16,-1.92
2015,4,-0.67,-1.89,-1.83,-0.45,-1.14,-1.87,-1.29,-0.72,-1.34,-1.88,-1.09,-2.03,-2.17
2016,1,-1.7,-2.32,-1.5,-1.15,-1.97,-2.07,-1.74,-1.52,-1.54,-1.76,-1.26,-2.24,-2.45
2016,2,-1.24,-1.59,-0.59,-2.13,-0.24,-0.41,-1.3,-1.83,-1.53,-1.3,-1.52,-2.14,-1.99
2016,3,-1.74,-2.08,-2.64,-1.09,-1.26,-1.82,-1.65,-2.35,-2.16,-1.65,-1.91,-3.62,-2.98
