,,t90 ALA,t90 CAN,t90 CEA,t90 CWP,t90 NEA,t90 NEF,t90 NPL,t90 NWP,t90 SEA,t90 SPL,t90 SWP,t90 USA,t90 USC
2005,4,-0.14,1.77,1.42,-0.68,2.4,1.98,0.37,-0.1,1.48,2.08,0.73,1.85,2.11
2006,1,0.88,2.56,1.59,0.99,1.57,2.17,2.39,1.45,0.09,2.3,1.35,2.16,2.63
2006,2,-0.43,1.84,0.54,0.13,2.53,1.9,0.62,0.07,1.04,2.1,1,1.28,1.9
2006,3,-0.87,1.98,1.03,1.84,1.42,0.79,1.45,1.14,1.42,2.15,3.48,2.09,2.55
2006,4,0.96,1.57,0.06,0.08,1.66,0.59,-0.18,0,-0.7,-0.16,-0.51,-0.06,1.04
2007,1,-0.1,1.53,2.24,-0.14,1.62,2.97,0.41,0,0.91,0.07,-0.3,0.64,1.25
2007,2,0.86,0.42,0.51,1.29,-0.34,0.56,0.7,0.29,1.13,1.2,1.93,2.11,1.33
2007,3,1.87,1.92,0.77,1.95,1.01,1.17,1.33,1.1,1.84,0.73,2.6,2.08,2.51
2007,4,1.01,-0.2,1.59,-0.26,0.86,1.18,-0.46,-0.71,1.4,0.93,1.79,2.21,0.95
2008,1,-0.21,-0.64,0.77,-1.31,0.07,0.32,-0.91,-0.9,0.56,-0.83,-0.95,-0.66,-0.72
2008,2,0.18,-0.24,-0.65,-0.69,0.41,-0.29,-0.84,-0.41,-1.2,-0.95,-0.33,-1.1,-0.71
2008,3,-1.58,0.79,-0.32,0.26,1.79,0.54,0.07,-0.61,0.45,-0.14,1.23,-0.24,0.34
2008,4,-1.23,0.63,-0.12,0.84,1.84,0.75,0.22,-0.23,-0.7,-0.79,1.52,-0.57,0.15
2009,1,-0.29,-0.62,-0.13,-0.46,-0.26,-0.75,-0.55,-0.64,0.53,0.71,0.71,0.34,-0.22
2009,2,0.07,-1.07,0.25,-0.11,0.27,-0.42,-1.08,-0.95,0.19,0.21,1.36,0.49,-0.5
2009,3,0.88,0.63,-0.68,0.9,0.83,-0.3,-0.63,2.22,0.26,0.48,0.82,0.39,0.64
2009,4,0.86,2.1,-0.29,0.56,0.95,1.43,2.62,0.26,-0.16,-0.41,0.74,0.33,1.59
2010,1,0.56,1.51,-0.86,-0.24,3.93,0.87,-0.34,0.62,-1.58,-2.17,-1.34,-1.74,0.09
2010,2,1.2,3.55,3.02,-0.81,2.64,3.12,1.14,1.59,0.61,-0.47,-1.02,0.54,2.72
2010,3,-0.28,1.61,2.3,-0.72,1.64,1.71,-0.45,0.26,4.43,1.36,1.61,2.25,2.42
2010,4,1.68,2.53,0.56,0.78,1.53,1.02,0.49,0.45,0.98,0.48,1.93,1.91,2.66
2011,1,-0.51,0.93,-0.7,-0.18,3.32,0.84,-0.43,-0.32,-0.87,-0.56,0.18,-0.8,0.18
2011,2,0.24,-0.68,0.67,-1.49,0.22,-0.46,-1.13,-0.68,1.93,0.9,0.07,0.58,-0.18
2011,3,-0.67,1.13,1.01,-0.84,0.5,0.94,-0.25,-0.83,3.46,5.31,2.59,3.43,2.86
2011,4,-0.63,2.17,1.78,0.98,2.74,2.48,1.45,-0.37,-0.05,1.15,1.12,0.93,1.93
2012,1,-0.02,1.67,1.78,-0.23,0.88,2.3,1.61,0.35,0.67,0.78,-0.06,0.87,1.46
2012,2,-0.09,1.79,3.9,0.91,2.44,3.16,1.36,-0.07,4.55,4.43,2.38,4.45,3.43
2012,3,-0.55,3.02,1.27,0.72,3.59,2.61,1.37,0.6,1.35,2.8,3.07,2.52,3.46
2012,4,-0.42,1.45,-0.08,0.94,2.81,0.95,-0.11,0.05,-0.72,0.93,2.21,0.57,1.26
2013,1,-0.31,-0.28,1.26,-0.95,1.09,1.23,-0.71,-0.54,1.07,0.14,-0.47,0.16,-0.09
2013,2,-0.56,0.38,0.24,0.95,1.39,0.23,-0.59,0.33,-0.86,-0.48,1.06,-0.25,0.14
2013,3,3.88,1.97,1.23,1.7,0.72,0.57,0.62,3.12,0.05,0.9,3.25,2.06,2.52
2013,4,2.29,1.44,-0.09,0.42,1.14,0.63,0.62,1.17,-0.52,0.23,0.12,0.85,1.39
2014,1,1.39,-0.62,-0.22,-0.17,-0.42,-1.2,-0.67,0.28,-0.4,-0.79,1,0.18,-0.3
2014,2,1.52,-0.73,-0.72,0.45,-0.62,-1.15,-0.81,0.86,-0.61,-0.55,1.07,0.37,-0.32
2014,3,0.13,1.1,-0.44,1.38,2.88,0.16,0.32,1.14,0.06,-0.25,1.33,0.17,0.77
