,,ALA,CAN,CEA,CWP,NEA,NEF,NPL,NWP,SEA,SPL,SWP,USA,USC
1981,4,0.01,1.51,-0.14,0.86,0.56,0.08,0.99,1.41,-0.46,0.62,0.65,0.43,0.98
1982,1,-0.59,-0.07,-0.22,0.53,0.24,-0.52,-0.34,0.11,0.12,-0.05,0.44,0.22,0.15
1982,2,-0.24,-0.49,-0.69,-0.58,-0.38,-0.82,-0.37,-0.25,0.01,-0.12,0.12,-0.29,-0.46
1982,3,-0.25,-0.44,-0.56,-0.18,-0.39,-0.81,-0.49,0.34,0.04,-0.49,-0.31,-0.44,-0.56
1982,4,-0.44,-0.46,-0.11,-0.51,-0.17,-0.12,-0.27,-0.35,-0.44,-0.6,-0.29,-0.75,-0.73
1983,1,-0.45,-0.11,0.54,0.22,0.44,0.71,-0.09,0.19,0.42,0.28,0.18,0.49,0.26
1983,2,0.18,-0.3,0.2,0.24,0.98,-0.1,-0.68,0.38,-0.92,-1.4,-0.22,-0.57,-0.46
1983,3,-0.05,0.09,0.45,-0.4,-0.1,-0.04,0.14,0.38,-0.22,-0.21,-0.54,-0.32,-0.32
1983,4,0.02,0.24,0.45,-0.39,0.16,0.79,-0.15,-0.7,-0.03,0.03,0.81,0.24,0.25
1984,1,0.07,-0.48,0.52,-0.93,0.61,-0.07,-0.67,-0.25,-0.35,-1.09,-0.87,-0.94,-0.82
1984,2,0.19,0.18,-0.18,-0.26,0.31,-0.12,0.05,0.31,-0.55,-0.84,-0.21,-0.52,-0.24
1984,3,0.16,0.53,0.75,-0.19,0.69,1.04,0.32,-0.23,-0.15,-0.38,0.44,-0.1,0.2
1984,4,-0.16,-0.24,-0.65,-0.65,-0.12,0.35,-0.02,-0.69,0.08,-0.59,-0.53,-0.52,-0.61
1985,1,1.01,-0.14,0.13,-1.39,0.47,1.04,-0.73,-0.36,0.23,0.06,-0.75,-0.16,-0.21
1985,2,-0.28,0.06,0.16,-0.25,-0.52,0.57,0.27,-0.25,0.2,0.59,0.13,0.03,-0.08
1985,3,-0.24,-0.6,-0.66,0.28,0.34,-0.02,-1.05,-0.53,-0.07,-0.86,-0.02,-0.76,-0.94
1985,4,-0.62,-0.82,0.8,-1.02,-0.3,0.17,-1.38,-1.3,1.2,-0.88,-0.98,-0.59,-0.72
1986,1,0.82,-0.06,0.08,0.21,-0.37,-0.73,-0.19,0.54,-0.31,-0.36,0.45,0.04,-0.1
1986,2,-0.78,0.74,0.45,0.73,0.35,0.73,0.82,0.49,-0.2,0.11,0.56,-0.03,0.16
1986,3,0.24,-0.88,-0.38,0.08,-0.68,-0.78,-0.42,-0.18,0.56,0.1,-0.06,0.18,-0.47
1986,4,1.04,-1.06,-0.58,0.15,-1.47,-1.02,-0.74,0.52,1.2,0.27,-0.64,0.56,-0.06
1987,1,1.36,0.08,-0.27,-0.08,-0.58,-0.18,0.42,0.42,0.61,0.79,-0.13,0.63,0.53
1987,2,0.59,0.32,0.72,1.32,0.17,0.67,0.47,1,0.57,1.04,0.25,1.09,0.92
1987,3,0.88,0.28,0.44,0.36,-0.06,0.55,0.17,0.5,0.81,0.46,-0.56,0.73,0.73
1987,4,1.06,0.71,0.11,0.51,0.38,0.39,0.26,0.94,-0.15,-0.05,0.15,0.15,0.5
1988,1,0.97,0.49,0.34,0.6,0.34,0.61,0.15,0.11,0.25,0.05,-0.32,0.33,0.52
1988,2,1.07,0.93,0.3,1.11,0.56,0.63,0.69,0.94,-0.55,0.01,0.09,0.22,0.59
1988,3,0.59,1.16,1.18,0.72,0.34,1.28,1.05,0.04,0.06,0.65,0.57,0.78,0.92
1988,4,-0.3,0.28,-0.08,0.99,0.41,0.02,-0.08,0.48,0,0.11,0.11,0.02,0.17
1989,1,0.05,-0.54,0.03,-0.52,-0.22,-0.59,-0.2,-0.53,0.42,0.28,-0.76,-0.11,-0.34
1989,2,0.16,-0.48,0.24,0.65,0.66,-0.38,-0.38,-0.24,-0.06,0.44,0.73,0.52,0.04
1989,3,0.7,0.43,0.26,-0.03,0.8,-0.16,0.29,0.62,0.24,-0.16,0.11,0.4,0.74
1989,4,0.05,-0.39,-0.08,0.02,-0.02,-0.47,-0.28,0.15,-0.03,-0.22,0.1,-0.08,-0.28
1990,1,-0.34,-0.52,-0.38,-0.27,-0.75,-0.63,-0.41,0.17,0.3,0.21,-0.29,-0.11,-0.37
1990,2,0.77,0.48,0.03,0.56,-0.57,-0.01,0.32,0.94,0.03,0.56,0.35,0.81,0.78
1990,3,0.95,0.34,0.04,0.65,0.51,-0.22,-0.03,1.35,-0.23,0.02,0.61,0.47,0.54
1990,4,-0.59,-0.04,0.08,0.19,0.2,0.05,-0.22,0.19,0.32,0.37,0.1,0.11,-0.24
1991,1,0.25,0.01,0.47,-0.53,-0.32,-0.21,-0.19,0.55,0.68,-0.18,-0.72,-0.14,-0.18
1991,2,0.54,0.79,0.93,0.34,-0.33,0.65,0.73,0.44,1.54,0.52,-0.12,1,0.99
1991,3,-0.16,0.72,0.46,0.18,-0.35,0.07,0.68,0.56,0.29,0.17,-0.31,0.18,0.48
1991,4,0.18,-0.21,-0.06,0.27,-0.08,-0.42,-0.56,0.52,-0.41,-0.39,0.32,-0.02,-0.23
1992,1,0.21,0.59,0.25,0.57,-0.98,-0.09,0.79,1.31,0.4,1.53,0.33,0.89,0.92
1992,2,0.02,-0.1,-0.87,1.02,-0.96,-0.8,0.11,0.81,-1.1,0.11,0.75,-0.2,-0.24
1992,3,-0.04,-1.22,-0.83,0.58,-0.65,-1.21,-1.24,0.22,-0.19,-1.15,-0.33,-0.89,-0.93
1992,4,-1.33,-0.61,-0.84,-0.05,-0.53,-0.83,-0.14,-0.27,-0.25,-0.44,-0.42,-0.96,-0.92
1993,1,0.35,-0.14,-0.26,-1.15,-0.55,-0.47,-0.44,-0.43,-0.15,-0.33,-0.11,-0.28,-0.01
1993,2,0.35,0.66,-0.56,0.84,0.24,-0.43,0.48,1.2,-1.28,-0.36,0.13,-0.29,0.23
1993,3,0.46,0.73,-0.18,-0.76,-0.35,0.2,0.25,0.3,0.23,-0.66,-0.81,-0.29,0.44
1993,4,0.91,-0.42,-0.83,-0.96,-0.26,-0.82,-0.28,0.2,-0.14,-1.32,-0.67,-0.84,-0.64
1994,1,-0.02,-0.11,-0.65,0.08,-0.39,-0.79,0.22,0.12,-0.1,-0.54,-0.11,-0.39,-0.34
1994,2,0.36,0.64,-0.39,0.79,0.16,-0.31,0.7,1.13,-0.18,-0.07,0.4,0.23,0.5
1994,3,0.46,0.53,0.32,0.18,-0.11,0.11,0.26,0.76,-0.17,-0.59,0.64,0.22,0.44
1994,4,-0.44,0.4,-0.22,0.27,0.57,0.41,0.42,-0.28,-0.43,-0.05,-0.29,-0.21,0.33
1995,1,-0.26,0.32,0.24,1.03,0.06,0.51,0.3,-0.06,-0.35,0.34,0.98,0.58,0.64
1995,2,0.69,-0.03,-0.28,0.68,-0.14,-0.17,-0.35,0.22,-0.02,-0.12,0.49,0.4,0.56
1995,3,0.05,0.68,1.1,-0.3,-0.1,0.48,0.3,0.5,0.6,0.05,0.08,0.75,1.2
1995,4,0.72,0.13,0.47,0.53,-0.09,-0.16,-0.36,0.59,-0.17,-0.51,0.54,0.16,0.16
1996,1,0.13,0.38,0.46,0.57,0.21,0.44,-0.22,0.39,-0.24,-0.1,1.2,0.5,0.46
1996,2,0.48,0.04,-0.09,0.3,-0.36,-0.32,-0.55,0.41,-0.65,-0.59,0.97,0.22,0.11
1996,3,0.03,0.31,0.26,-0.23,-0.21,0.18,0.08,0.2,-0.11,0.43,1.29,0.66,0.73
1996,4,-0.93,-0.23,-0.29,-0.08,-0.31,-0.19,-0.55,-0.74,-0.49,0.05,0.43,-0.27,-0.07
1997,1,0.23,-0.02,0.33,0.42,0.15,0.52,-0.57,-0.09,0.01,0.8,0.81,0.86,0.72
1997,2,0.41,-0.4,-1.07,0.35,-0.64,-1.06,-0.7,0.58,-0.52,-0.23,0.59,0.04,-0.08
1997,3,1.12,0.38,-0.44,0.19,-0.63,-0.22,0.28,0.87,-0.66,0.06,0.4,0.2,0.56
1997,4,0.73,0.2,-0.68,0.13,-0.2,-0.3,0.63,-0.09,-0.41,-0.11,0.32,-0.02,0.13
1998,1,0.19,0.65,1.12,-0.16,1.1,1.11,0.65,0.01,0.66,0.61,0.21,0.78,1
1998,2,1.46,1.13,0.95,0.21,0.98,1.29,0.27,0.7,0.45,-0.42,-0.2,0.55,1.09
1998,3,0.61,1.32,0.5,0.39,0.33,0.4,0.93,0.78,1.04,0.59,0.38,0.85,1.43
1998,4,0.52,1.2,0.19,0.52,0.16,0.38,0.78,0.3,1.29,1.87,0.44,1.49,1.71
1999,1,-0.35,1.05,0.77,0.38,0.21,1.16,0.77,0.47,1.53,1.17,0.06,0.79,0.98
1999,2,0.12,1.12,0.33,-0.44,0.68,1.31,0.8,-0.02,0.34,0.52,-0.29,0.05,0.66
1999,3,0.84,0.65,0.82,-0.33,0.93,1.59,0.07,-0.18,1.08,0.68,0.12,0.84,1.01
1999,4,0.2,1.12,1.33,0.59,1.37,1.83,0.4,-0.18,0.7,0.61,0.3,0.7,0.9
2000,1,0.78,0.72,0.74,0.51,0.7,1.59,0.65,-0.37,0.66,1.57,0.84,1.29,1.19
2000,2,0.1,0.78,1.09,0.64,0.28,1.45,0.47,-0.22,1.1,1.27,1.15,1.28,1.19
2000,3,-0.13,0.6,-0.32,0.17,0.2,0.51,0.21,-0.1,0.88,0.59,1.04,0.55,0.6
2000,4,0.55,0.14,-0.58,-0.36,-0.14,-0.12,0.33,-0.27,0.73,0.59,0.2,0.31,0.42
2001,1,0.85,0.16,-0.11,-0.63,0.06,-0.35,-0.12,-0.07,0.76,0.28,0.09,0.22,0.33
2001,2,0.13,0.65,0.28,0.16,0.53,0.48,0.3,0.04,1.2,0.33,0.86,0.6,0.77
2001,3,0.34,0.83,0.55,0.08,0.99,0.43,0.67,0.15,1.44,1.03,0.67,1.02,1.16
2001,4,-0.17,0.66,0.8,0.26,1.45,0.92,0.28,-0.36,1.28,0.69,0.53,0.77,1
2002,1,0.35,0.64,1.47,-0.19,0.95,1.32,0.24,0.05,1.59,0.46,-0.13,0.72,0.84
2002,2,0.88,-0.89,0.56,-0.65,0.22,-0.37,-1.42,-0.87,0.78,-0.82,-0.01,-0.08,-0.53
2002,3,0.37,0.67,0.86,0.03,0.28,0.55,0.51,0.22,0.65,0.7,1.04,1.25,1.09
2002,4,2.09,0.34,0.3,-0.3,0.35,-0.32,-0.12,0.4,0.91,-0.09,1.01,1.38,1.33
2003,1,1.36,0.72,-0.48,1.05,-0.54,-0.51,0.48,0.89,-0.42,0.41,1.53,1.27,1.31
2003,2,0.64,0.51,-0.66,0.65,-0.02,-0.41,0.31,0.64,0.31,0.02,1.32,1.05,0.97
2003,3,0.82,0.61,0.47,0.75,1.29,0.6,0.36,0.74,0.18,0.43,1.51,1.29,1.17
2003,4,0.96,1.52,0.55,0.47,2.03,0.94,0.18,1.1,0.03,0.27,0.84,1.03,1.42
2004,1,0.15,0.48,-0.05,0.14,0.76,0.35,0.08,0.49,-0.41,0.33,0.28,0.29,0.45
2004,2,0.81,0.11,0.52,0.78,0.46,0.25,-0.1,0.83,0.14,0.71,1.23,1.24,0.72
2004,3,1.98,-0.24,-0.11,0.85,0.52,-0.54,-0.85,1.63,-0.19,-0.82,0.11,0.2,0.36
2004,4,0.7,0.17,0.68,-0.39,0.18,0.51,-0.06,0.23,1.09,0.45,0.37,0.92,0.85
2005,1,0.96,0.51,0.57,-0.22,-0.03,0.46,0.49,0.5,0.42,0.46,1.28,1.11,1.05
2005,2,1.29,0.97,0.01,1.07,0.78,0.27,0.5,1.38,-0.51,-0.59,0.64,0.25,0.72
2005,3,1.16,0.92,1.44,-0.08,0.65,1.34,0.24,0.49,1.57,0.47,0.31,1.35,1.52
2005,4,0.67,1.69,1.49,0.06,1.8,1.59,0.28,0.8,1.13,0.46,0.03,0.78,1.16
2006,1,0.57,1.33,0.89,0.85,1.66,1.7,0.45,0.52,0.62,0.29,0.22,0.65,1.07
2006,2,0.32,1.26,0.51,0.52,1.17,1.15,0.87,0.34,0.54,1.01,0.59,0.82,1.18
2006,3,0.39,0.75,1.54,0.82,1.15,0.4,0.72,0.43,0.83,1.03,1.65,1.56,1.38
2006,4,0.52,1.15,0.48,0.43,0.75,0.5,0.64,-0.03,0.06,0.31,0.02,0.41,0.94
2007,1,0.12,1.06,0.75,0.21,0.57,1.19,0.75,0.21,0.16,1.15,0.13,0.87,1.28
2007,2,0.35,0.93,0.36,0.5,0.07,0.42,1.14,0.51,-0.16,2.1,1.09,1.33,1.3
2007,3,1.56,0.7,0.2,0.7,0.42,0.62,0.53,0.43,0.71,1.53,1.31,1.92,1.85
2007,4,1.8,0.33,0.76,0,0.67,0.87,0.02,-0.22,1,0.37,0.46,1.19,0.87
2008,1,1.11,-0.06,0.59,-0.29,0.06,0.79,-0.29,-0.66,0.68,-0.22,0.22,0.55,0.52
2008,2,1.05,0.06,0.32,-0.89,0.63,0.32,-0.47,-0.41,0.07,-0.27,-0.3,0.03,0.21
2008,3,-0.06,0.75,0.61,-0.08,1.66,0.97,0.24,-0.48,0.76,0.37,0.89,0.93,1.42
2008,4,-0.57,0.57,0.21,0.3,1.6,0.21,0.39,-0.42,-0.45,-0.02,0.7,0.02,0.44
2009,1,0.02,0.25,0.18,-0.08,0.75,-0.19,0.15,-0.33,0.15,-0.03,0.61,0.24,0.31
2009,2,-0.22,-0.34,0.18,0.08,0.71,0.12,-0.6,-0.93,0.27,0.3,0.72,0.62,0.35
2009,3,0.01,0.29,0.16,0.4,1.2,0.18,-0.44,0.61,-0.03,-0.06,0.35,0.05,0.33
2009,4,-0.07,1.15,0.05,-0.02,0.65,0.24,0.74,1.03,0.57,0.22,0.17,0.45,1.04
2010,1,-0.2,0.83,0.44,-0.44,1.7,0.82,-0.05,0.11,-0.4,-0.13,0.07,-0.02,0.71
2010,2,0.08,2.17,1.48,-0.14,1.24,1.68,1.66,1.02,0.46,0.26,-0.15,0.53,1.54
2010,3,0.15,1.68,1.3,-0.13,1.54,1.52,0.77,0.59,1.57,1.08,0.74,1.7,2.14
2010,4,1.12,2.82,1.25,0.26,1.67,2.32,1.02,1.13,0.83,0,0.55,0.97,1.8
2011,1,0.32,1.72,0.28,-0.02,1.58,1.69,0.62,0.72,-0.36,-0.54,0.27,-0.13,0.74
2011,2,0.03,1.08,1.47,-0.1,0.56,1.57,-0.01,0.36,1.09,-0.01,0.02,0.7,0.93
2011,3,0.17,1.89,1.16,-0.29,0.86,1.35,0.87,0.86,1.29,1.74,0.76,1.47,1.73
2011,4,-0.35,1.31,1.28,0.26,0.67,1.26,0.46,0.53,0.18,0.93,0.16,0.5,1.12
2012,1,0.27,1.03,0.54,0.37,0.34,1.04,0.38,0.48,0.34,1.8,-0.1,0.79,1.17
2012,2,-0.06,1.52,1.41,1.26,0.81,1.41,1.07,0.61,1.51,2.44,0.9,1.95,1.96
2012,3,0.04,1.47,0.81,0.6,1.37,1.3,0.75,0.49,0.91,0.98,1.03,1.11,1.46
2012,4,0.26,0.84,0.59,0.99,1.01,0.6,0,-0.02,-0.1,0.34,0.64,0.42,0.85
2013,1,0.45,0.67,0.91,0.25,0.64,1.35,-0.05,0.01,1.15,0.52,-0.17,0.86,1.16
2013,2,-0.54,0.47,0.05,0.52,0.55,0.54,-0.75,0.46,-0.76,-0.73,0.15,-0.51,0.14
2013,3,1.1,0.86,1.06,0.85,1.34,0.52,0.26,1.11,0.5,0.5,1.23,1.32,1.81
2013,4,1.14,0.91,-0.21,0.38,0.85,0.3,0.24,0.71,-0.38,0.34,0.31,0.49,0.98
2014,1,0.46,-0.11,-0.37,-0.62,0.09,-0.87,-0.55,0.18,-0.5,-1.16,-0.08,-0.7,-0.41
2014,2,0.23,0.21,-0.5,0.58,-0.3,-0.81,-0.44,1.28,-0.56,-0.88,0.62,-0.07,0.2
2014,3,0.62,1.11,0.13,0.4,1.4,0.62,0.42,1.14,-0.31,-0.04,0.9,0.49,1.56
2014,4,0.72,0.83,-0.55,0.56,0.57,-0.39,-0.05,1.5,-0.25,-0.3,1.03,0.27,0.7
2015,1,0.96,0.72,-0.85,0.78,-0.29,-1.17,0.42,1.6,-0.53,-0.01,1.05,0.36,0.78
2015,2,1.09,0.69,-0.39,0.6,-0.65,-0.37,-0.07,2.67,0.32,0.68,0.52,0.74,1.15
2015,3,0.73,0.67,0.37,1.06,-0.02,-0.21,0.3,1.91,0.59,0.18,0.89,0.87,1.32
2015,4,1.4,2.06,1.17,0.52,1.1,1.02,0.61,2.29,0.84,0.85,0.56,1.42,1.92
2016,1,0.45,1.84,1.59,0.65,1.06,2.32,0.33,1.55,1.24,0.75,-0.24,1.11,1.87
2016,2,1.73,1.94,0.02,1.25,0.35,0.34,1.24,3.06,0.89,1.21,0.35,1.32,2.01
2016,3,1.53,0.88,1.04,0.3,0.68,0.67,0.32,1.25,2.04,0.72,0.88,1.82,2.15
